RunID,Date,DAQTimeLapse,DriftField_V_per_cm
360930,2019-06-28 01:32:53,38.0,230.99729241877256
360931,2019-06-28 01:34:38,38.0,230.99729241877256
360932,2019-06-28 01:36:24,38.0,230.99729241877256
360934,2019-06-28 01:39:50,38.0,230.97924187725633
360935,2019-06-28 01:41:34,39.0,230.99729241877256
360936,2019-06-28 01:43:18,38.0,230.99729241877256
360937,2019-06-28 01:45:01,38.0,230.99729241877256
360938,2019-06-28 01:46:45,38.0,230.99729241877256
360939,2019-06-28 01:48:28,39.0,230.99729241877256
360940,2019-06-28 01:50:12,38.0,230.99729241877256
360941,2019-06-28 01:51:56,38.0,230.99729241877256
360942,2019-06-28 01:53:39,38.0,230.99729241877256
360943,2019-06-28 01:55:22,39.0,230.99729241877256
360944,2019-06-28 01:57:06,39.0,230.97924187725633
360945,2019-06-28 01:58:51,39.0,230.99729241877256
360946,2019-06-28 02:00:35,38.0,231.0063176895307
360947,2019-06-28 02:02:19,38.0,230.99729241877256
360948,2019-06-28 02:04:02,39.0,230.99729241877256
360949,2019-06-28 02:05:46,38.0,230.99729241877256
360950,2019-06-28 02:07:29,39.0,230.97924187725633
360951,2019-06-28 02:09:13,38.0,230.97924187725633
360952,2019-06-28 02:10:56,39.0,230.99729241877256
360953,2019-06-28 02:12:40,39.0,230.99729241877256
360954,2019-06-28 02:14:24,38.0,230.97924187725633
360955,2019-06-28 02:16:07,40.0,230.99729241877256
360956,2019-06-28 02:17:53,38.0,230.99729241877256
360957,2019-06-28 02:19:36,39.0,231.0063176895307
360958,2019-06-28 02:21:20,38.0,231.0063176895307
360959,2019-06-28 02:23:03,39.0,231.0063176895307
360960,2019-06-28 02:24:47,38.0,230.99729241877256
360961,2019-06-28 02:26:31,39.0,231.0063176895307
360962,2019-06-28 02:28:16,39.0,231.0063176895307
360963,2019-06-28 02:30:02,38.0,230.99729241877256
360964,2019-06-28 02:31:45,39.0,230.97924187725633
360965,2019-06-28 02:33:29,39.0,231.0063176895307
360966,2019-06-28 02:35:13,38.0,230.97924187725633
360967,2019-06-28 02:36:56,39.0,230.99729241877256
360968,2019-06-28 02:38:40,39.0,230.99729241877256
360969,2019-06-28 02:40:23,39.0,230.97924187725633
360970,2019-06-28 02:42:07,38.0,230.99729241877256
360971,2019-06-28 02:43:53,38.0,230.99729241877256
360972,2019-06-28 02:45:36,39.0,230.99729241877256
360973,2019-06-28 02:47:22,38.0,230.99729241877256
360974,2019-06-28 02:49:05,39.0,230.97924187725633
360975,2019-06-28 02:50:51,38.0,230.99729241877256
360976,2019-06-28 02:52:35,38.0,230.99729241877256
360977,2019-06-28 02:54:19,38.0,230.97924187725633
360978,2019-06-28 02:56:03,38.0,230.99729241877256
360979,2019-06-28 02:57:48,38.0,230.97924187725633
360981,2019-06-28 03:01:17,39.0,231.0063176895307
360982,2019-06-28 03:03:01,39.0,230.97924187725633
360983,2019-06-28 03:04:46,39.0,230.97924187725633
360985,2019-06-28 03:08:13,39.0,230.99729241877256
360986,2019-06-28 03:09:57,38.0,230.97924187725633
360987,2019-06-28 03:11:41,38.0,231.0063176895307
360988,2019-06-28 03:13:24,38.0,231.0063176895307
360989,2019-06-28 03:15:08,39.0,230.99729241877256
360990,2019-06-28 03:16:51,39.0,230.97924187725633
360991,2019-06-28 03:18:35,38.0,230.97924187725633
360992,2019-06-28 03:20:18,39.0,231.0063176895307
360993,2019-06-28 03:22:03,39.0,230.99729241877256
360994,2019-06-28 03:23:48,38.0,230.99729241877256
360995,2019-06-28 03:25:31,39.0,230.99729241877256
360996,2019-06-28 03:27:15,38.0,230.99729241877256
360997,2019-06-28 03:28:58,39.0,230.99729241877256
360998,2019-06-28 03:30:42,38.0,230.99729241877256
360999,2019-06-28 03:32:26,38.0,230.97924187725633
361000,2019-06-28 03:34:09,39.0,230.97924187725633
361001,2019-06-28 03:35:53,38.0,230.97924187725633
361002,2019-06-28 03:37:37,38.0,230.99729241877256
361003,2019-06-28 03:39:20,38.0,230.99729241877256
361004,2019-06-28 03:41:03,39.0,230.99729241877256
361006,2019-06-28 03:44:30,38.0,231.0063176895307
361007,2019-06-28 03:46:14,38.0,230.97924187725633
361008,2019-06-28 03:47:57,39.0,230.99729241877256
361009,2019-06-28 03:49:41,38.0,230.97924187725633
361010,2019-06-28 03:51:25,38.0,230.97924187725633
361011,2019-06-28 03:53:08,38.0,230.99729241877256
361012,2019-06-28 03:54:52,38.0,230.99729241877256
361013,2019-06-28 03:56:35,39.0,231.0063176895307
361014,2019-06-28 03:58:20,38.0,231.02436823104694
361015,2019-06-28 04:00:04,39.0,231.0063176895307
361016,2019-06-28 04:01:48,39.0,230.99729241877256
361017,2019-06-28 04:03:32,38.0,231.0063176895307
361018,2019-06-28 04:05:15,39.0,231.0063176895307
361019,2019-06-28 04:06:59,38.0,230.97924187725633
361020,2019-06-28 04:08:43,39.0,230.97924187725633
361021,2019-06-28 04:10:29,38.0,231.0063176895307
361022,2019-06-28 04:12:14,39.0,230.99729241877256
361023,2019-06-28 04:13:57,39.0,230.99729241877256
361024,2019-06-28 04:15:41,39.0,230.97924187725633
361025,2019-06-28 04:17:26,39.0,230.99729241877256
361026,2019-06-28 04:19:10,39.0,230.99729241877256
361027,2019-06-28 04:20:55,39.0,231.0063176895307
361028,2019-06-28 04:22:39,38.0,231.02436823104694
361029,2019-06-28 04:24:22,39.0,230.99729241877256
361030,2019-06-28 04:26:06,39.0,230.99729241877256
361031,2019-06-28 04:27:50,38.0,230.97924187725633
361032,2019-06-28 04:29:33,39.0,230.97924187725633
361033,2019-06-28 04:31:17,38.0,231.0063176895307
361034,2019-06-28 04:33:00,39.0,230.97924187725633
361036,2019-06-28 04:36:28,38.0,231.0063176895307
361037,2019-06-28 04:38:11,39.0,231.0063176895307
361038,2019-06-28 04:39:54,38.0,230.99729241877256
361039,2019-06-28 04:41:38,39.0,230.99729241877256
361040,2019-06-28 04:43:22,38.0,230.99729241877256
361042,2019-06-28 04:46:49,38.0,231.02436823104694
361043,2019-06-28 04:48:32,38.0,231.0063176895307
361044,2019-06-28 04:50:17,38.0,230.97924187725633
361045,2019-06-28 04:52:01,39.0,231.0063176895307
361046,2019-06-28 04:53:45,38.0,230.97924187725633
361047,2019-06-28 04:55:29,38.0,230.99729241877256
361048,2019-06-28 04:57:12,38.0,230.97924187725633
361049,2019-06-28 04:58:56,38.0,231.0063176895307
361050,2019-06-28 05:00:39,39.0,230.97924187725633
361051,2019-06-28 05:02:23,38.0,231.0063176895307
361052,2019-06-28 05:04:08,39.0,230.97924187725633
361053,2019-06-28 05:05:52,38.0,231.0063176895307
361054,2019-06-28 05:07:36,38.0,230.97924187725633
361055,2019-06-28 05:09:19,38.0,230.99729241877256
361056,2019-06-28 05:11:03,39.0,231.0063176895307
361057,2019-06-28 05:12:48,39.0,231.0063176895307
361058,2019-06-28 05:14:34,38.0,230.97924187725633
361059,2019-06-28 05:16:18,39.0,230.99729241877256
361060,2019-06-28 05:18:01,39.0,230.99729241877256
361061,2019-06-28 05:19:47,38.0,230.99729241877256
361062,2019-06-28 05:21:30,39.0,230.97924187725633
361063,2019-06-28 05:23:16,39.0,231.0063176895307
361064,2019-06-28 05:25:00,38.0,231.0063176895307
361065,2019-06-28 05:26:43,39.0,230.99729241877256
361066,2019-06-28 05:28:27,39.0,230.97924187725633
361067,2019-06-28 05:30:12,39.0,231.0063176895307
361068,2019-06-28 05:31:56,38.0,230.97924187725633
361069,2019-06-28 05:33:39,38.0,231.02436823104694
361070,2019-06-28 05:35:24,38.0,231.0063176895307
361071,2019-06-28 05:37:08,38.0,230.99729241877256
361072,2019-06-28 05:38:52,39.0,231.0063176895307
361073,2019-06-28 05:40:36,38.0,230.97924187725633
361075,2019-06-28 05:44:05,38.0,230.99729241877256
361076,2019-06-28 05:45:49,38.0,230.97924187725633
361079,2019-06-28 05:50:59,39.0,230.97924187725633
361080,2019-06-28 05:52:43,38.0,230.99729241877256
